position,velocity
-0.30868718,0.03589376
-0.27329588,0.035391293
-0.23861036,0.034685533
-0.20481119,0.033799164
-0.17305477,0.031756416
-0.14446895,0.028585829
-0.119151965,0.025316978
-0.09717696,0.021975003
-0.07859647,0.01858049
-0.063446805,0.015149665
-0.05175199,0.011694816
-0.043527104,0.008224886
-0.038780935,0.00474617
-0.037517864,0.0012630704
-0.039738975,-0.002221111
-0.045442343,-0.005703366
-0.054622512,-0.0091801705
-0.06726919,-0.01264668
-0.083365135,-0.016095946
-0.1028833,-0.019518167
-0.12578334,-0.022900028
-0.15200748,-0.026224138
-0.18147613,-0.029468667
-0.21408336,-0.032607228
-0.24969247,-0.0356091
-0.28813237,-0.038439896
-0.329195,-0.041062642
-0.3726344,-0.04343941
-0.41816774,-0.045533333
-0.4654787,-0.047310945
-0.51322335,-0.047744643
-0.56104577,-0.047822446
-0.608588,-0.04754218
-0.6554996,-0.046911646
-0.7014476,-0.045948006
-0.74612415,-0.04467653
-0.78825295,-0.04212882
-0.8275989,-0.03934598
-0.8639681,-0.036369152
-0.89720553,-0.033237435
-0.9271918,-0.029986292
-0.9538384,-0.026646564
-0.9770824,-0.023243979
-0.9968814,-0.019799082
-1.013209,-0.01632751
-1.0260495,-0.012840495
-1.035395,-0.009345525
-1.0412421,-0.005847092
-1.0435896,-0.002347491
-1.0424372,0.0011523627
-1.037785,0.0046521076
-1.029634,0.008151111
-1.0179863,0.011647642
-1.0028483,0.015138048
-0.9842323,0.018615954
-0.9621608,0.022071484
-0.9366703,0.025490573
-0.9078159,0.028854394
-0.8756769,0.032139003
-0.8403616,0.035315275
-0.8020124,0.038349234
-0.7608095,0.041202877
-0.71697396,0.043835554
-0.6707681,0.04620588
-0.6224939,0.048274133
-0.5724889,0.050005015
-0.5211185,0.05137038
-0.46876675,0.052351777
-0.41582438,0.052942388
-0.3626763,0.05314809
-0.30968878,0.05298751
-0.2571977,0.052491054
-0.20549867,0.051699053
-0.15483938,0.05065928
-0.1054152,0.049424186
-0.057367038,0.04804816
-0.010781946,0.046585094
0.034304455,0.0450864
0.07790408,0.043599628
0.12007168,0.042167593
0.16089971,0.04082804
0.2005134,0.03961368
0.23906592,0.038552515
0.2767343,0.03766839
0.31371588,0.036981575
0.3502253,0.036509424
0.38649225,0.03626696
0.42275968,0.036267415
0.45928228,0.036522605
0.4963255,0.037043218
-0.43863487,0.0
-0.44026524,-0.0016303515
-0.4435141,-0.003248863
-0.44835782,-0.0048437365
-0.4547611,-0.0064032637
-0.46267697,-0.007915884
-0.47204724,-0.009370258
-0.4828026,-0.0107553555
-0.49486315,-0.012060564
-0.50813895,-0.013275814
-0.5225307,-0.014391721
-0.5379304,-0.015399732
-0.5542227,-0.016292278
-0.5712856,-0.017062921
-0.5889921,-0.017706487
-0.6072113,-0.018219179
-0.6258099,-0.01859864
-0.6446539,-0.018844012
-0.66360986,-0.018955925
-0.6825463,-0.018936448
-0.7013353,-0.018789006
-0.7198536,-0.018518258
-0.7369835,-0.017129922
-0.7526201,-0.015636625
-0.76667106,-0.014050949
-0.7790563,-0.012385235
-0.7897077,-0.010651419
-0.79856867,-0.008860945
-0.8055934,-0.0070247287
-0.81074655,-0.0051531694
-0.81400275,-0.0032562106
-0.81534624,-0.0013434358
-0.8147704,0.0005758112
-0.8122781,0.002492288
-0.8078814,0.004396708
-0.8006018,0.0072796005
-0.79047567,0.010126131
-0.77755505,0.012920619
-0.76190877,0.015646307
-0.74362355,0.018285217
-0.7228054,0.020818157
-0.69958055,0.023224847
-0.6740963,0.025484245
-0.6465213,0.027575018
-0.6170451,0.029476184
-0.5858772,0.031167887
-0.55324495,0.03263226
-0.51939064,0.033854317
-0.48456785,0.034822755
-0.44903716,0.03553069
-0.41306105,0.03597613
-0.37689883,0.03616221
-0.3408017,0.036097135
-0.30500785,0.03579385
-0.26973844,0.035269417
-0.23519418,0.03454425
-0.20155302,0.033641167
-0.16996859,0.031584427
-0.14156614,0.02840245
-0.11644159,0.025124542
-0.094666064,0.021775533
-0.076290384,0.018375676
-0.06134952,0.014940867
-0.049866427,0.011483091
-0.041855413,0.008011013
-0.03732472,0.004530696
-0.036278367,0.0010463524
-0.03871722,-0.0024388558
-0.044639233,-0.0059220106
-0.05403886,-0.009399626
-0.06690571,-0.012866846
-0.08322236,-0.016316656
-0.1029615,-0.019739144
-0.12608233,-0.023120826
-0.15252644,-0.02644411
-0.18221337,-0.02968692
-0.21503597,-0.03282261
-0.25085616,-0.035820197
-0.28950122,-0.038645037
-0.33076116,-0.04125996
-0.37438807,-0.04362691
-0.42009705,-0.04570899
-0.46756992,-0.04747284
-0.51546097,-0.04789108
